Ship to GBAV Date [yyyy-mm-dd],Shipping Box Number,ONE object per line                       Object Unique Identifier(s),Number of Original Media Units,Program Unique Identifier,Original Format,Original Recording Date/ Interview Date [yyyy-mm-dd],Title,Description/Interview Summary,Full Name/ First Name/ Interviewee/ Guest (Please Specify),Last Name/ Optional Second Name/ Interviewer/ Host  (Please Specify),File Name Root,Notes to Engineer,Shelf Location ,Optional Custom Category 1 ,Optional Custom Category 2,Optional Custom Category 3,Optional Custom Category 4,Optional Custom Category 5,Inspection Notes,Requested Actions,DateAndInitials
2017-08-07,1,MS01.10.01.A011,1,MS01.10.01.A011,audio cassette,1972-02-18,"Broadcast recording for Negro History Week by Driskell, Hooks and Bond","[Broadcast recording for Negro History Week by Driskell, Hooks and Bond]; WPLN-Nashville Public Radio; 1972 February 18.",,,mdu-064497,,,,,,,,,,08292017CSP
2017-08-07,1,MS01.10.01.A013,1,MS01.10.01.A013,audio cassette,1972-04-10,Recording of interview with David Driskell on Black Art,[Recording of interview with David Driskell on Black Art]; Fisk University; 1972 April 10. ,,,mdu-064498,,,,,,,,,,08292017CSP
2017-08-07,1,MS01.10.01.A025,1,MS01.10.01.A025,audio cassette,1972-11-12; 1972-11-16,Recording of David Driskell Interview with Walter Williams,[Recording of David Driskell Interview with Walter Williams]; Copenhagen and Stockholm; 1972 November 12 and 16. ,,,mdu-064499,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A029,1,MS01.10.01.A029,audio cassette,1972-11-22,Sam Middleton and David Driskell,"[Sam Middleton and David Driskell]; Amsterdam, Netherlands; 1972 November 22.",,,mdu-064500,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A036,1,MS01.10.01.A036,audio cassette,1973-10-14,Recording of Interview with Winston Branch,[Recording of Interview with Winston Branch]; Fisk University; 1973 October 14. ,,,mdu-064501,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A037,1,MS01.10.01.A037,audio cassette,1973-11-4,Recording of David Driskell Interview with Winston Branch,"[Recording of David Driskell Interview with Winston Branch]; Nashville, TN; 1973 November 4. ",,,mdu-064502,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A038,1,MS01.10.01.A038,audio cassette,1973-11-17,"Sengstacke, Moss, Driskell and Canton","[Sengstacke, Moss, Driskell and Canton]; unknown; 1973 November 17. ",,,mdu-064503,,,,,,,,blank original,,08302017CSP
2017-08-07,1,MS01.10.01.A041,1,MS01.10.01.A041,audio cassette,1974-01-16,Recording of Interview with Charles White and Carlton Moss,"[Recording of Interview with Charles White and Carlton Moss]; Altadena, CA; 1974 January 16.",,,mdu-064504,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A042,1,MS01.10.01.A042,audio cassette,1974-01-17,"Amistad Talks: A Conversation with Carlton, Joy, David and Grant","[Amistad Talks: A Conversation with Carlton, Joy, David and Grant]; Los Angeles, CA; 1974 January 17. ",,,mdu-064505,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A061,1,MS01.10.01.A061,audio cassette,1977-07-05,Two Centuries of Black Art,[Two Centuries of Black Art]; unknown; 1977 July 5. ,,,mdu-064506,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A071,1,MS01.10.01.A071,audio cassette,1988-10-09,Mary Beattie Brady Remembered by C. Clark,[Mary Beattie Brady Remembered by C. Clark]; unknown; 1988 October 9. ,,,mdu-064507,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A074,1,MS01.10.01.A074,audio cassette,1989-11-27,Recording of David Driskell and Steven Jones Interview with Joseph Delaney,"[Recording of David Driskell and Steven Jones Interview with Joseph Delaney], Tape 1 of 3; Delaney Home-Knoxville, TN; 1989 November 27.",,,mdu-064508,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A075,1,MS01.10.01.A075,audio cassette,1989-11-27,Recording of David Driskell and Steven Jones Interview with Joseph Delaney,"[Recording of David Driskell and Steven Jones Interview with Joseph Delaney], Tape 2 of 3; Delaney Home-Knoxville, TN; 1989 November 27. ",,,mdu-064509,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A076,1,MS01.10.01.A076,audio cassette,1989-11-27,Recording of David Driskell and Steven Jones Interview with Joseph Delaney,"[Recording of David Driskell and Steven Jones Interview with Joseph Delaney], Tape 3 of 3; Delaney Home-Knoxville, TN; 1989 November 27. ",,,mdu-064510,,,,,,,,,,08302017CSP
2017-08-07,1,MS01.10.01.A105,1,MS01.10.01.A105,audio cassette,undated,"Recording of David Driskell Lecture on ""Hidden Heritage: 1800-1950""","[Recording of David Driskell Lecture on ""Hidden Heritage: 1800-1950""]; California Afro-American Museum; undated. ",,,mdu-064511,,,,,,,,,,08302017CSP
